ID_ASIGNATURA,NOMBRE,CREDITOS,HORAS,DEPARTAMENTO,OFICIAL
1000,TEM. SEL. DE MANUFACTURA,8,4,,1
1009,BIOMECANICA,10,5,,1
1010,SISTEMAS EMBEBIDOS,8,4,,1
1016,SUBESTACIONES ELECTRICAS,8,4,,1
1018,PROCESAMIENTO DIGITAL DE VOZ,8,4,,1
1023,SISMOLOGIA APL.EXPLOR.PETROL,8,4,,1
1024,PROCESAMIENTO DATOS SIS.PET.,8,4,,1
1026,PERCEPCION REMOTA APLICADA,8,4,,1
1028,FUENTE SISMICA,8,4,,1
1030,SISMOLOGIA DE MOVTOS.FUERTES,8,4,,1
1032,SISMOLOGIA APLDA.A GEOTECNIA,8,4,,1
1041,GEOLOGIA MARINA-CONTAMINACIO,6,3,,1
1042,ECONOMIA YACIMTOS-LEG.MINERA,6,3,,1
1046,GEOLOGIA URBANA,6,3,,1
1047,RIESGOS VOLCANICOS,6,3,,1
1051,HISTOLOGIA,8,4,,1
1052,ETICA PROFESIONAL,6,3,,1
1053,FISIOLOGIA,8,4,,1
1054,LOGISTICA Y ADMINISTR. HOSPITALARIA,10,5,,1
1055,LITERATURA HISPANOAMERICANA CONTEMPO,6,3,,1
1056,ABANDONO DE MINAS,6,3,,1
1057,DESARROLLO DE HABILIDADES DIRECTIVAS,6,3,,1
1058,LIDERAZGO Y DIRECCION DE EMPRESAS,6,3,,1
1059,DESARROLLO EMPRESARIAL,6,3,,1
1060,ENVASE Y EMBALAJE,6,3,,1
1061,GEOLOGIA APLICADA A LA ING. CIVIL,9,4.5,,1
1062,BENEFICIO MINERALES NO METALICOS,6,3,,1
1063,BIOLIXIVIACION,6,3,,1
1064,SISTEMAS ELECTRICOS DE POTENCIA II,11,5.5,,1
1065,DINAMICA DE MAQUINARIA,8,4,,1
1066,GEOLOGIA DEL PETROLEO,9,4.5,,1
1067,GEOMETRIA DESCRIPTIVA APLICADA,6,3,,1
1068,INGENIERIA DE PERFORACION DE POZOS,10,5,,1
1069,FLUIDOS DE PERFORACION,6,3,,1
1070,HIDRAULICA Y CONTROL DE POZOS,6,3,,1
1071,PERFORACION POZOS EN AGUAS PROFUND.,6,3,,1
1072,TERMINAC. MANEJO PRODUCC.AGUAS PROF.,6,3,,1
1073,COMERCIALIZACION CRUDO Y GAS NATUR.,6,3,,1
1074,LEGISLACION INDUSTRIAL,6,3,,1
1075,INGENIER. PRODUCC. DE GAS NATURAL,6,3,,1
1076,RENTABIL. PROYEC. INGENIER. PETROLER,6,3,,1
1077,REDES DE RECOLECCION,6,3,,1
1079,SISMOLOGIA APLIC. EXPLORACION PETRO.,6,3,,1
1080,FRACTURAMIENTO HIDRAULICO,6,3,,1
1081,YACIMIENTOS GAS BAJA PERMEABILIDAD,6,3,,1
1082,YACIMIENTOS GAS Y CONDENSADO,6,3,,1
1083,CARACT. ESTATICA Y DINAMICA DE YNF,6,3,,1
1084,GEOLOGIA DE YNF,6,3,,1
1085,RECUPERACION SECUNDAR. MEJORADA YNF,6,3,,1
1086,SIMULACION NUMERICA DE YNF,6,3,,1
1087,SEGURIDAD INDUSTRIAL,6,3,,1
1088,HIDROGEOLOGIA,9,4.5,,1
1089,INGENIERIA DE YACIMIENTOS GEOTERM.,9,4.5,,1
1090,SIMULACION MATEMATICA DE YACIMIENTOS,9,4.5,,1
1091,AMPLIFICADORES DE ALTA FRECUENCIA,6,3,,1
1092,AUTOMATIZACION DE SISTEM.ELECTRICS,8,4,,1
1093,CONTROL DE SISTEMAS NO LINEALES,8,4,,1
1094,CONTROLADOR.E INSTRUM.BASAD.MICROS,8,4,,1
1095,CONTR.DISTR.INTEGR.SCADA (REDS.AUT,8,4,,1
1096,ELECTRONICA PARA MICROONDAS,6,3,,1
1097,FUNDAMENTOS DE ENERGIA NUCLEAR,6,3,,1
1099,ILUMINACION,6,3,,1
109,COMUNICACIONES DIGITALES,10,5,,1
1100,ALGEBRA,9,4.5,,1
1102,GEOMETRIA ANALITICA,9,4.5,,1
1107,CULTURA Y COMUNICACION,6,3,,1
1108,CALCULO DIFERENCIAL,9,4.5,,1
1109,QUIMICA Y ESTRUCTURA DE MATERIALES,10,5,,1
1110,PRACTICAS DE TOPOGRAFIA I,5,2.5,,1
1111,TOPOGRAFIA I,12,6,,1
1112,COMPUTACION PARA INGENIEROS,8,4,,1
1113,COSTOS E INGENIERIA ECONOMICA,8,4,,1
1114,TOPOGRAFIA I,9,4.5,,1
1115,SISTEMAS DE COMERCIALIZACION,6,3,,1
1116,TEM. SEL. DE INGENIERIA PETROLERA,6,3,,1
1120,ALGEBRA,8,4,,1
1121,CALCULO Y GEOMETRIA ANALITICA,12,6,,1
1122,FUNDAMENTOS DE PROGRAMACION,10,5,,1
1123,QUIMICA,10,5,,1
1124,REDACCION Y EXPOSIC TEMAS INGENIERIA,6,3,,1
1125,QUIMICA DE CIENCIAS DE LA TIERRA,10,5,,1
1126,INTRODUCCION INGENIERIA PETROLERA,4,2,,1
1127,PROGRAMACION BASICA,6,3,,1
1128,REPRESENTACIONES GRAFICAS,8,4,,1
1129,INGENIERIA INDUSTRIAL Y PRODUCTIVIDA,4,2,,1
1130,FUNDAMENTOS DE FISICA,6,3,,1
1131,INTRODUC.INGENIER.MINAS Y METALURGIA,4,2,,1
1137,PETROLOGIA,6,3,,1
1138,PRINCIPIOS PRACTICOS DE ELECTRONICA,4,2,,1
1139,EXPLORACION GEOQUIMICA MINERA,8,4,,1
1141,TEMAS SEL.DE INGENIERIA GEOFISICA I,8,4,,1
1142,TEMAS SEL.DE INGENIERIA GEOFISICA II,8,4,,1
1143,ANALISIS DE REGISTROS SISMICOS,8,4,,1
1198,AUTOMATIZACION AVANZADA,8,4,,1
119,ESTRUCTURAS DISCRETAS,8,4,,1
1207,CALCULO INTEGRAL,9,4.5,,1
1208,TOPOGRAFIA II,12,6,,1
1209,DIBUJO MECANICO E INDUSTRIAL,6,3,,1
1210,QUIMICA GENERAL,10,5,,1
1211,INTRODUCCION A LA ECONOMIA,9,4.5,,1
1212,GEOLOGIA DE YACIMIENTOS DE FLUIDOS,9,4.5,,1
1213,ESTATICA ESTRUCTURAL,9,4.5,,1
1214,GEOMATICA,9,4.5,,1
1215,FUNDAMENTOS DE GEOLOGIA,9,4.5,,1
1216,QUIMICA,10,5,,1
1217,PRACTICAS DE TOPOGRAFIA II,5,2.5,,1
1218,TOPOGRAFIA II,9,4.5,,1
1220,ALGEBRA LINEAL,8,4,,1
1221,CALCULO INTEGRAL,8,4,,1
1222,CULTURA Y COMUNICACION,2,1,,1
1223,ESTATICA,8,4,,1
1224,INTRODUC A LA ING SISTEMAS BIOMEDICO,2,1,,1
1225,MANUFACTURA I,8,4,,1
1227,ESTRUCTURA DATOS Y ALGORITMOS I,10,5,,1
1228,MECANICA,12,6,,1
1229,GEOMATICA BASICA,9,4.5,,1
126,DISEÑO DE HERRAMENTAL,10,5,,1
129,DINAMICA DE SISTEMAS FISICOS,8,4,,1
12,ADMINISTRACION,6,3,,1
1306,ECUACIONES DIFERENCIALES,9,4.5,,1
130,DISEÑO ELEMENTOS DE MAQUINA,8,4,,1
1311,FOTOGRAMETRIA I,12,6,,1
1312,PROGRAMACION AVANZADA METDOS.NUMER,8,4,,1
1313,SISTEMAS DE COORDENADAS,6,3,,1
