ID_ESTRUCTURA,ID_PLAN,ID_ASIGNATURA,TIPO,ID_SEMESTRE,LABORATORIO
11820061,1182,0061,OBL,1,0
11821100,1182,1100,OBL,1,0
11821102,1182,1102,OBL,1,0
11821108,1182,1108,OBL,1,0
11821112,1182,1112,OBL,1,0
11820062,1182,0062,OBL,2,0
11821107,1182,1107,OBL,2,0
11821207,1182,1207,OBL,2,0
11821213,1182,1213,OBL,2,0
11821214,1182,1214,OBL,2,0
11820063,1182,0063,OBL,3,0
11820066,1182,0066,OBL,3,0
11821306,1182,1306,OBL,3,0
11821318,1182,1318,OBL,3,0
11821506,1182,1506,OBL,3,0
11820465,1182,0465,OBL,4,0
11821211,1182,1211,OBL,4,0
11821314,1182,1314,OBL,4,0
11821402,1182,1402,OBL,4,0
11821427,1182,1427,OBL,4,0
11820466,1182,0466,OBL,5,0
11820712,1182,0712,OBL,5,0
11820762,1182,0762,OBL,5,0
11821567,1182,1567,OBL,5,0
11821730,1182,1730,OBL,5,0
11822188,1182,2188,OBL,5,0
11821507,1182,1507,OBL,6,0
11821555,1182,1555,OBL,6,0
11821608,1182,1608,OBL,6,0
11821667,1182,1667,OBL,6,0
11821688,1182,1688,OBL,6,0
11821703,1182,1703,OBL,6,0
11820230,1182,0230,OBL,7,0
11820379,1182,0379,OBL,7,0
11820642,1182,0642,OBL,7,0
11821601,1182,1601,OBL,7,0
11821760,1182,1760,OBL,7,0
11821761,1182,1761,OBL,7,0
11820781,1182,0781,OBL,8,0
11821714,1182,1714,OBL,8,0
11821832,1182,1832,OBL,8,0
11821420,1182,1420,OBL,9,0
11821966,1182,1966,OBL,9,0
11822156,1182,2156,OBL,9,0
11820610,1182,0610,OPT,0,0
11822061,1182,2061,OPT,0,0
11820152,1182,0152,OPT,0,0
11822060,1182,2060,OPT,0,0
11822062,1182,2062,OPT,0,0
11822063,1182,2063,OPT,0,0
11821935,1182,1935,OPT,0,0
11822064,1182,2064,OPT,0,0
13700061,1370,0061,OBL,1,0
13701100,1370,1100,OBL,1,0
13701107,1370,1107,OBL,1,0
13701108,1370,1108,OBL,1,0
13701112,1370,1112,OBL,1,0
13700062,1370,0062,OBL,2,0
13701102,1370,1102,OBL,2,0
13701207,1370,1207,OBL,2,0
13701211,1370,1211,OBL,2,0
13701214,1370,1214,OBL,2,0
13700063,1370,0063,OBL,3,0
13700066,1370,0066,OBL,3,0
13701213,1370,1213,OBL,3,0
13701306,1370,1306,OBL,3,0
13701318,1370,1318,OBL,3,0
13700465,1370,0465,OBL,4,0
13701314,1370,1314,OBL,4,0
13701427,1370,1427,OBL,4,0
13701555,1370,1555,OBL,4,0
13701688,1370,1688,OBL,4,0
13700466,1370,0466,OBL,5,0
13700712,1370,0712,OBL,5,0
13701402,1370,1402,OBL,5,0
13701420,1370,1420,OBL,5,0
13701567,1370,1567,OBL,5,0
13701761,1370,1761,OBL,5,0
13701506,1370,1506,OBL,6,0
13701667,1370,1667,OBL,6,0
13701703,1370,1703,OBL,6,0
13701730,1370,1730,OBL,6,0
13702188,1370,2188,OBL,6,0
13700230,1370,0230,OBL,7,0
13700642,1370,0642,OBL,7,0
13700762,1370,0762,OBL,7,0
13701507,1370,1507,OBL,7,0
13701601,1370,1601,OBL,7,0
13701608,1370,1608,OBL,7,0
13700379,1370,0379,OBL,8,0
13700781,1370,0781,OBL,8,0
13701714,1370,1714,OBL,8,0
13701832,1370,1832,OBL,8,0
13701760,1370,1760,OBL,9,0
13701966,1370,1966,OBL,9,0
13702156,1370,2156,OBL,9,0
13702062,1370,2062,OPT,0,0
13702063,1370,2063,OPT,0,0
13700610,1370,0610,OPT,0,0
13702061,1370,2061,OPT,0,0
13700152,1370,0152,OPT,0,0
13702060,1370,2060,OPT,0,0
13701935,1370,1935,OPT,0,0
13702064,1370,2064,OPT,0,0
13700061,1370,0061,OBL,1,0
13701100,1370,1100,OBL,1,0
13701107,1370,1107,OBL,1,0
13701108,1370,1108,OBL,1,0
13701112,1370,1112,OBL,1,0
13700062,1370,0062,OBL,2,0
13701102,1370,1102,OBL,2,0
13701207,1370,1207,OBL,2,0
13701211,1370,1211,OBL,2,0
13701214,1370,1214,OBL,2,0
13700063,1370,0063,OBL,3,0
13700066,1370,0066,OBL,3,0
13701213,1370,1213,OBL,3,0
13701306,1370,1306,OBL,3,0
13701318,1370,1318,OBL,3,0
13700465,1370,0465,OBL,4,0
13701314,1370,1314,OBL,4,0
13701427,1370,1427,OBL,4,0
13701555,1370,1555,OBL,4,0
13701688,1370,1688,OBL,4,0
13700466,1370,0466,OBL,5,0
13700712,1370,0712,OBL,5,0
13701402,1370,1402,OBL,5,0
13701420,1370,1420,OBL,5,0
13701567,1370,1567,OBL,5,0
13701761,1370,1761,OBL,5,0
13701506,1370,1506,OBL,6,0
13701667,1370,1667,OBL,6,0
13701703,1370,1703,OBL,6,0
13701730,1370,1730,OBL,6,0
13702188,1370,2188,OBL,6,0
13700230,1370,0230,OBL,7,0
13700642,1370,0642,OBL,7,0
13700762,1370,0762,OBL,7,0
13701507,1370,1507,OBL,7,0
13701601,1370,1601,OBL,7,0
13701608,1370,1608,OBL,7,0
13700379,1370,0379,OBL,8,0
13700781,1370,0781,OBL,8,0
13701714,1370,1714,OBL,8,0
13701832,1370,1832,OBL,8,0
13701760,1370,1760,OBL,9,0
13701966,1370,1966,OBL,9,0
13702156,1370,2156,OBL,9,0
13702062,1370,2062,OPT,0,0
13702063,1370,2063,OPT,0,0
13700610,1370,0610,OPT,0,0
13702061,1370,2061,OPT,0,0
13700152,1370,0152,OPT,0,0
13702060,1370,2060,OPT,0,0
13701935,1370,1935,OPT,0,0
13702064,1370,2064,OPT,0,0
20401120,2040,1120,OBL,1,0
20401121,2040,1121,OBL,1,0
20401124,2040,1124,OBL,1,0
20401127,2040,1127,OBL,1,0
20401128,2040,1128,OBL,1,0
20401220,2040,1220,OBL,2,0
20401221,2040,1221,OBL,2,0
20401222,2040,1222,OBL,2,0
20401223,2040,1223,OBL,2,0
20401229,2040,1229,OBL,2,0
20401506,2040,1506,OBL,2,0
20400275,2040,0275,OBL,3,0
20401321,2040,1321,OBL,3,0
20401322,2040,1322,OBL,3,0
20401325,2040,1325,OBL,3,0
20401333,2040,1333,OBL,3,0
20401407,2040,1407,OBL,3,0
20400465,2040,0465,OBL,4,0
20401433,2040,1433,OBL,4,0
20401436,2040,1436,OBL,4,0
20401444,2040,1444,OBL,4,0
20401450,2040,1450,OBL,4,0
20401555,2040,1555,OBL,4,0
20400387,2040,0387,OBL,5,0
20400466,2040,0466,OBL,5,0
20401402,2040,1402,OBL,5,0
20401413,2040,1413,OBL,5,0
20401595,2040,1595,OBL,5,0
20401596,2040,1596,OBL,5,0
20401052,2040,1052,OBL,6,0
20401601,2040,1601,OBL,6,0
20401730,2040,1730,OBL,6,0
