ID_PLAN_GENERACION,ID_PLAN,GENERACION
11822006,1182,2006
13702009,1370,2009
13702010,1370,2010
20402016,2040,2016
40572016,4057,2016
40582016,4058,2016
40592016,4059,2016
40602016,4060,2016
40612016,4061,2016
40622016,4062,2016
11832006,1183,2006
14022010,1402,2010
20462016,2046,2016
11842006,1184,2006
11852006,1185,2006
11862006,1186,2006
11872006,1187,2006
11882006,1188,2006
11892006,1189,2006
14162009,1416,2009
14172009,1417,2009
14182009,1418,2009
14192009,1419,2009
14202009,1420,2009
14212009,1421,2009
14162010,1416,2010
14172010,1417,2010
14182010,1418,2010
14192010,1419,2010
14202010,1420,2010
14212010,1421,2010
20412016,2041,2016
40722016,4072,2016
40732016,4073,2016
40742016,4074,2016
40752016,4075,2016
40762016,4076,2016
11902006,1190,2006
11912006,1191,2006
11922006,1192,2006
11932006,1193,2006
11942006,1194,2006
11952006,1195,2006
11962006,1196,2006
14222009,1422,2009
14232009,1423,2009
14242009,1424,2009
14252009,1425,2009
14262009,1426,2009
14272009,1427,2009
14282009,1428,2009
14222010,1422,2010
14232010,1423,2010
14242010,1424,2010
14252010,1425,2010
14262010,1426,2010
14272010,1427,2010
14282010,1428,2010
20442016,2044,2016
40692016,4069,2016
40702016,4070,2016
40712016,4071,2016
11972006,1197,2006
11982006,1198,2006
11992006,1199,2006
12002006,1200,2006
12012006,1201,2006
14292009,1429,2009
14302009,1430,2009
14312009,1431,2009
14322009,1432,2009
14332009,1433,2009
14292010,1429,2010
14302010,1430,2010
14312010,1431,2010
14322010,1432,2010
14332010,1433,2010
20452016,2045,2016
40492016,4049,2016
40502016,4050,2016
40512016,4051,2016
40522016,4052,2016
40532016,4053,2016
12022006,1202,2006
12032006,1203,2006
12042006,1204,2006
12052006,1205,2006
12062006,1206,2006
12072006,1207,2006
12082006,1208,2006
12092006,1209,2006
14032010,1403,2010
14042010,1404,2010
14052010,1405,2010
14062010,1406,2010
14072010,1407,2010
14082010,1408,2010
14092010,1409,2010
14102010,1410,2010
20372016,2037,2016
40632016,4063,2016
40642016,4064,2016
40652016,4065,2016
40662016,4066,2016
40672016,4067,2016
40682016,4068,2016
12102006,1210,2006
12112006,1211,2006
12122006,1212,2006
12132006,1213,2006
12142006,1214,2006
14112010,1411,2010
14122010,1412,2010
14132010,1413,2010
14142010,1414,2010
14152010,1415,2010
20322016,2032,2016
12152006,1215,2006
13682009,1368,2009
13682010,1368,2010
20422016,2042,2016
40542016,4054,2016
40552016,4055,2016
40562016,4056,2016
12182006,1218,2006
14342009,1434,2009
14342010,1434,2010
20432016,2043,2016
40452016,4045,2016
40462016,4046,2016
40472016,4047,2016
40482016,4048,2016
12232006,1223,2006
13692009,1369,2009
13692010,1369,2010
20352016,2035,2016
12242006,1224,2006
14352009,1435,2009
14352010,1435,2010
20382016,2038,2016
11812006,1181,2006
13672009,1367,2009
13672010,1367,2010
20392016,2039,2016
20282016,2028,2016
40312016,4031,2016
40322016,4032,2016
40332016,4033,2016
